,apparentTemperature,cloudCover,dewPoint,humidity,icon,precipIntensity,precipProbability,precipType,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,39.02,0.75,39.54,0.77,wind,0.0,0.0,,Breezy and Mostly Cloudy,46.44,1333152000,0,6.22,281.0,35.66,19.55
1,28.68,0.61,30.19,0.75,partly-cloudy-night,0.0,0.0,,Mostly Cloudy,37.22,1323561600,0,6.22,251.0,14.99,13.82
2,60.14,0.75,58.19,0.94,partly-cloudy-night,0.0,0.0,,Mostly Cloudy,60.03,1313193600,0,6.21,180.0,4.0,2.27
3,41.85,0.75,40.02,0.74,partly-cloudy-night,0.0,0.0,,Mostly Cloudy,47.81,1322352000,0,6.22,230.0,14.96,14.96
4,32.88,0.75,34.06,0.88,partly-cloudy-night,0.0,0.0,,Mostly Cloudy,37.22,1329523200,0,6.22,270.0,5.74,5.41
5,28.23,0.3,33.23,0.85,partly-cloudy-night,0.0,0.0,,Partly Cloudy,37.43,1327017600,0,6.22,260.0,16.0,16.0
6,6.03,0.3,3.25,0.88,partly-cloudy-night,0.0,0.0,,Partly Cloudy,6.03,1328313600,0,6.22,260.0,2.29,2.29
7,44.57,,37.4,0.76,clear-night,0.0,0.0,,Clear,44.57,1334966400,0,6.21,170.0,,1.02
8,61.74,0.86,58.77,0.9,rain,0.0169,0.48,rain,Drizzle,61.63,1316304000,0,6.22,140.0,12.01,5.74
9,31.37,,32.8,0.85,clear-night,0.0,0.0,,Clear,36.83,1319328000,0,6.21,120.0,8.99,6.91
10,53.63,,51.79,0.93,clear-night,0.0,0.0,,Clear,53.63,1317427200,0,6.22,104.0,1.0,0.85
11,31.43,,32.03,0.92,clear-night,0.0,0.0,,Clear,34.04,1330732800,0,6.22,33.0,3.46,3.15
12,74.82,,69.8,0.88,clear-night,0.0,0.0,,Clear,73.63,1314403200,0,6.21,90.0,7.01,6.9
13,45.43,,37.04,0.72,clear-night,0.0,0.0,,Clear,45.43,1331942400,0,6.21,6.0,1.16,0.76
14,40.81,,42.8,0.96,fog,0.0,0.0,,Foggy,43.83,1320537600,0,1.88,60.0,5.23,5.23
15,56.63,,46.41,0.69,clear-night,0.0,0.0,,Clear,56.63,1336176000,0,6.21,241.0,7.01,6.2
16,52.82,,37.41,0.56,clear-night,0.0,0.0,,Clear,52.82,1334102400,0,6.21,159.0,12.01,8.56
17,74.82,,69.8,0.88,clear-night,0.0,0.0,,Clear,73.63,1314403200,0,6.21,90.0,7.01,6.9
18,21.91,0.75,32.03,0.94,rain,0.0185,1.0,rain,Light Rain and Breezy,33.62,1324080000,0,2.97,281.0,28.57,20.73
